"C57BL6_0dpi_rep1","C57BL6_0dpi_rep2","C57BL6_1stInf_5dpi_rep1","C57BL6_1stInf_5dpi_rep2","C57BL6_2ndInf_5dpi_rep1","NMRI_1stInf_3dpi_rep1","NMRI_1stInf_3dpi_rep2","NMRI_1stInf_5dpi_rep1","NMRI_1stInf_5dpi_rep2","NMRI_1stInf_5dpi_rep3","NMRI_1stInf_7dpi_rep1","NMRI_1stInf_7dpi_rep2","NMRI_2ndInf_0dpi_rep1","NMRI_2ndInf_0dpi_rep2","NMRI_2ndInf_3dpi_rep2","NMRI_2ndInf_5dpi_rep1","NMRI_2ndInf_7dpi_rep1","NMRI_2ndInf_7dpi_rep2","Rag_0dpi_rep1","Rag_0dpi_rep2","Rag_1stInf_5dpi_rep1","Rag_1stInf_5dpi_rep2","Rag_2ndInf_5dpi_rep1"
"ENSMUSG00000000631",37191,52654,45554,27091,30526,103903,321081,167294,143340,155547,5001,41146,154629,64789,57843,311621,36353,74927,31612,77164,50800,45189,38889
"ENSMUSG00000000632",21,34,24,1,1,11,102,7,13,0,2,0,64,19,15,47,12,31,5,6,5,6,14
"ENSMUSG00000000673",2,2,6,7,10,34,59,57,26,157,6,83,32,36,31,255,113,34,14,28,8,7,11
"ENSMUSG00000000682",42,112,228,206,380,650,2351,1621,1820,7175,456,3737,797,1416,1876,14491,6150,2090,92,176,157,134,195
"ENSMUSG00000000686",11,19,11,6,10,89,162,50,74,135,8,75,86,28,46,298,72,60,6,12,5,14,10
"ENSMUSG00000000690",4746,6108,3507,1060,4861,14282,32065,7033,17498,8817,358,4266,20070,4759,9591,26320,5435,9582,3066,6488,3745,4271,5743
"ENSMUSG00000000693",17,16,51,14,48,117,446,151,245,416,36,303,240,38,116,723,167,117,17,40,21,24,39
"ENSMUSG00000000701",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
"ENSMUSG00000000706",3,14,13,0,9,7,50,6,46,8,2,26,26,3,10,77,17,11,4,13,1,10,20
"ENSMUSG00000000708",1595,2420,1985,814,1069,7119,14553,6786,10406,11691,326,1966,8085,2506,2449,18293,2023,4203,1175,2249,1998,1609,2665
"ENSMUSG00000000711",2440,3721,1918,1316,1331,7203,16473,5879,10513,10182,344,2880,14260,4527,3436,22359,2778,5354,1389,2778,1936,1774,2373
"ENSMUSG00000000724",0,0,1,0,0,0,2,4,2,1,2,4,0,0,1,3,1,1,0,0,0,0,0
"ENSMUSG00000000730",0,0,0,0,0,6,3,18,0,18,0,0,0,3,0,8,0,0,0,0,1,0,0
"ENSMUSG00000000731",27,41,27,5,9,113,165,8,79,35,2,15,134,35,64,97,41,36,14,19,6,8,27
"ENSMUSG00000000732",152,316,429,94,389,1066,3455,489,1675,1717,82,726,1272,514,586,3362,703,560,90,170,240,153,515
"ENSMUSG00000000751",2239,3844,3057,837,4672,16922,34071,7425,20715,26545,1057,10015,14961,5152,8514,53618,11685,8546,2872,3588,4339,3104,6366
"ENSMUSG00000000753",1,7,0,3,3,3,18,0,13,21,0,20,22,85,35,108,60,14,0,7,0,6,1
"ENSMUSG00000000759",2825,4785,3955,807,3198,15697,35735,8316,19515,18070,620,6233,18168,4716,7224,33653,6141,8200,2404,3726,3613,3082,6231
"ENSMUSG00000000766",0,0,0,2,0,0,2,0,8,13,4,5,0,3,0,23,4,5,0,0,0,0,0
"ENSMUSG00000000776",468,783,942,86,1353,2745,7644,1374,3966,3503,181,1582,2959,884,1523,5312,1517,1306,520,791,1059,757,1643
"ENSMUSG00000000782",250,425,281,146,359,1018,2606,1192,1906,8704,169,1742,1777,1499,1720,13036,2272,961,161,211,169,148,377
"ENSMUSG00000000787",16272,24544,21992,8550,15254,100365,212164,58649,146235,147184,5669,42793,117688,26048,27539,244875,34289,44403,14869,22609,27473,20088,38982
"ENSMUSG00000000791",8,9,185,77,524,1073,3058,1273,1856,3266,61,1059,134,197,845,7104,1497,694,29,60,200,30,366
"ENSMUSG00000000792",14,13,10,7,11,29,139,47,151,68,7,141,34,13,44,245,101,27,7,10,12,20,4
"ENSMUSG00000000794",0,1,0,0,0,0,2,2,1,2,12,10,0,2,0,3,0,0,0,1,0,0,0
"ENSMUSG00000000804",2029,3095,2041,1169,874,10115,22418,6697,13513,13827,627,3600,14790,3192,2479,28350,2485,4477,1240,2617,1719,1526,2457
"ENSMUSG00000000805",9257,23957,12360,19263,4664,16551,63671,35857,17027,30340,551,3764,66169,21846,9615,45620,3903,27543,6076,10922,3245,6079,4574
"ENSMUSG00000000811",511,972,738,106,956,3063,6133,999,3679,2806,80,845,3167,846,992,4848,1193,1394,428,664,895,639,1469
"ENSMUSG00000000817",1,4,16,4,25,70,359,179,183,973,46,365,130,129,89,2011,529,244,5,12,3,3,9
"ENSMUSG00000000823",1176,1870,1131,240,869,4085,10816,2724,5987,4283,182,1681,6453,1737,2168,10124,1764,2784,533,1173,956,924,1416
"ENSMUSG00000000826",7908,12549,9494,4319,6397,32237,84426,33238,50135,51700,2094,15776,44520,14186,14281,90950,13562,19466,5683,11625,11358,8806,13209
"ENSMUSG00000000827",5248,6814,4723,1687,6651,19588,41525,14752,28193,29729,1109,8794,31054,10020,12202,54464,12717,14636,3818,5975,6450,4466,8117
"ENSMUSG00000000838",2579,4299,4685,1752,2822,27796,55991,21840,39759,48166,1172,11739,25440,4889,6062,72960,7253,9023,3001,4577,4743,3769,8556
"ENSMUSG00000000861",401,685,654,86,834,4162,8364,1027,4787,3095,93,1089,3136,861,1787,7865,1541,1585,490,694,798,580,1419
"ENSMUSG00000000869",1,6,3,4,5,22,50,56,22,132,7,53,26,11,10,92,28,6,2,2,2,2,2
